shape_id,begin,end
2-T5-sj2-9.70.H,"1","576"
2-T5-sj2-9.7.H,"1","847"
2-T5-sj2-9.69.H,"1","843"
2-T5-sj2-9.68.H,"1","574"
2-T5-sj2-9.67.H,"1","654"
2-T5-sj2-9.66.R,"1","568"
2-T5-sj2-9.8.R,"1","836"
2-T2-sj2-9.121.R,"1","770"
22-903-1-sj2-1.1.R,"1","280"
2-T2-sj2-9.120.H,"1","869"
2-T5-sj2-9.78.H,"1","850"
2-T2-sj2-9.12.R,"1","336"
22-902-9-sj2-1.1.R,"1","562"
2-T2-sj2-9.119.H,"1","873"
2-T5-sj2-9.76.H,"1","843"
22-905-7-sj2-1.1.R,"1","364"
22-905-4-sj2-1.1.R,"1","658"
2-T2-sj2-9.129.H,"1","873"
22-906-9-sj2-1.1.R,"1","258"
21-870-sj2-1.27.R,"1","391"
22-906-6-sj2-1.1.R,"1","574"
2-T2-sj2-9.122.H,"1","873"
21-870-sj2-1.26.H,"1","1121"
2-T2-sj2-9.17.R,"1","331"
21-870-sj2-1.25.H,"1","1242"
21-870-sj2-1.24.H,"1","1191"
2-T2-sj2-9.15.H,"1","854"
21-870-sj2-1.23.H,"1","1119"
21-870-sj2-1.21.H,"1","1182"
21-870-sj2-1.20.H,"1","1188"
21-870-sj2-1.34.R,"1","1083"
2-T2-sj2-9.13.H,"1","331"
21-870-sj2-1.33.R,"1","1078"
2-T2-sj2-9.24.R,"1","552"
21-870-sj2-1.32.R,"1","1212"
2-T2-sj2-9.23.R,"1","771"
2-T2-sj2-9.22.R,"1","739"
21-870-sj2-1.30.R,"1","295"
2-T2-sj2-9.21.R,"1","770"
21-870-sj2-1.3.R,"1","1173"
2-T2-sj2-9.20.H,"1","328"
2-T2-sj2-9.2.R,"1","770"
21-870-sj2-1.28.H,"1","1124"
2-T2-sj2-9.19.R,"1","767"
21-871-sj2-1.2.H,"1","473"
2-T2-sj2-9.18.R,"1","334"
21-871-sj2-1.1.H,"1","393"
21-870-sj2-1.9.H,"1","820"
2-T2-sj2-9.31.H,"1","886"
21-870-sj2-1.8.R,"1","894"
2-T2-sj2-9.3.H,"1","870"
21-870-sj2-1.7.R,"1","1078"
2-T2-sj2-9.29.R,"1","521"
21-870-sj2-1.6.R,"1","1059"
21-870-sj2-1.5.R,"1","1304"
21-870-sj2-1.4.H,"1","918"
2-T2-sj2-9.26.R,"1","553"
21-872-sj2-1.10.H,"1","1150"
2-T2-sj2-9.25.R,"1","551"
21-872-sj2-1.1.R,"1","1162"
76-636-sj2-1.2.R,"1","3483"
21-871-sj2-1.8.R,"1","409"
76-636-sj2-1.1.R,"1","3484"
21-871-sj2-1.7.H,"1","175"
76-635-sj2-1.2.H,"1","3483"
2-T2-sj2-9.39.H,"1","514"
21-871-sj2-1.6.H,"1","1014"
76-635-sj2-1.1.H,"1","3483"
2-T2-sj2-9.38.R,"1","802"
21-871-sj2-1.5.H,"1","1119"
2-T2-sj2-9.37.R,"1","770"
21-871-sj2-1.4.R,"1","461"
2-T2-sj2-9.36.R,"1","523"
21-871-sj2-1.3.R,"1","1129"
2-T2-sj2-9.35.H,"1","513"
2-T2-sj2-9.34.R,"1","553"
21-872-sj2-1.2.R,"1","1207"
2-T2-sj2-9.49.R,"1","763"
21-872-sj2-1.15.R,"1","844"
2-T2-sj2-9.48.H,"1","885"
21-872-sj2-1.14.H,"1","1080"
21-872-sj2-1.13.R,"1","796"
2-T2-sj2-9.46.R,"1","802"
21-872-sj2-1.12.R,"1","295"
2-T2-sj2-9.45.H,"1","881"
2-T2-sj2-9.42.H,"1","516"
2-T2-sj2-9.41.H,"1","339"
2-T2-sj2-9.57.R,"1","770"
2-T2-sj2-9.56.R,"1","334"
21-872-sj2-1.9.R,"1","540"
2-T2-sj2-9.55.R,"1","514"
21-872-sj2-1.8.R,"1","891"
2-T2-sj2-9.54.H,"1","516"
21-872-sj2-1.7.H,"1","1169"
2-T2-sj2-9.53.H,"1","893"
21-872-sj2-1.6.H,"1","1147"
2-T2-sj2-9.52.H,"1","344"
21-872-sj2-1.5.H,"1","295"
2-T2-sj2-9.51.H,"1","886"
2-T2-sj2-9.50.R,"1","339"
21-865-sj2-1.2.H,"1","234"
21-865-sj2-1.13.H,"1","167"
21-865-sj2-1.12.R,"1","203"
21-865-sj2-1.11.R,"1","231"
21-865-sj2-1.10.R,"1","246"
21-865-sj2-1.1.H,"1","173"
21-864-sj2-1.2.R,"1","453"
21-864-sj2-1.1.H,"1","447"
21-866-sj2-1.1.H,"1","174"
21-865-sj2-1.9.H,"1","259"
21-865-sj2-1.8.H,"1","272"
21-865-sj2-1.7.R,"1","188"
21-865-sj2-1.6.R,"1","139"
21-865-sj2-1.5.R,"1","249"
21-865-sj2-1.4.R,"1","237"
21-865-sj2-1.3.R,"1","100"
21-866-sj2-1.4.R,"1","238"
21-866-sj2-1.3.H,"1","235"
21-866-sj2-1.2.H,"1","139"
21-866-sj2-1.14.R,"1","155"
21-866-sj2-1.13.R,"1","236"
21-866-sj2-1.12.H,"1","231"
21-866-sj2-1.11.H,"1","223"
21-866-sj2-1.10.H,"1","112"
21-867-sj2-1.3.H,"1","406"
21-867-sj2-1.2.H,"1","647"
21-867-sj2-1.1.R,"1","422"
21-866-sj2-1.9.R,"1","313"
21-866-sj2-1.8.R,"1","193"
21-866-sj2-1.7.H,"1","299"
21-866-sj2-1.6.R,"1","251"
21-866-sj2-1.5.R,"1","315"
21-869-sj2-1.11.R,"1","737"
21-869-sj2-1.10.R,"1","496"
2-T2-sj2-9.107.H,"1","870"
21-869-sj2-1.1.H,"1","678"
2-T2-sj2-9.105.R,"1","768"
21-868-sj2-1.5.R,"1","301"
2-T2-sj2-9.104.R,"1","771"
21-868-sj2-1.4.H,"1","275"
2-T2-sj2-9.102.R,"1","736"
21-868-sj2-1.3.H,"1","234"
